tempo,origem,destino,msg_id,delivered
24665,5,8,1-2-1,0
24715,18,19,1-2-1,0
24895,15,7,1-2-1,0
24910,18,5,1-2-1,0
24915,5,18,1-2-1,0
25240,5,15,1-2-1,0
25240,15,5,1-2-1,0
25995,15,7,1-2-1,0
26200,5,4,1-2-1,0
26660,15,14,1-2-1,0
26910,15,14,1-2-1,0
27385,18,20,1-2-1,0
27770,18,7,1-2-1,0
27880,5,15,1-2-1,0
27880,15,5,1-2-1,0
27930,18,14,1-2-1,0
27995,15,20,1-2-1,0
28075,18,1,1-2-1,0
28090,5,20,1-2-1,0
28290,15,9,1-2-1,0
28545,18,3,1-2-1,0
28670,18,10,1-2-1,0
28970,18,13,1-2-1,0
29010,15,5,1-2-1,0
29015,5,15,1-2-1,0
29090,5,1,1-2-1,0
29310,5,8,1-2-1,0
29350,15,3,1-2-1,0
29465,5,12,1-2-1,0
29735,5,7,1-2-1,0
29740,5,17,1-2-1,0
29865,15,16,1-2-1,0
30005,15,11,1-2-1,0
30280,5,3,1-2-1,0
30440,5,8,1-2-1,0
31115,18,12,1-2-1,0
31570,5,1,1-2-1,0
31720,18,8,1-2-1,0
32010,5,12,1-2-1,0
32125,15,8,1-2-1,0
32485,18,14,1-2-1,0
32675,5,9,1-2-1,0
32905,5,4,1-2-1,0
32925,18,7,1-2-1,0
33045,15,10,1-2-1,0
33420,5,2,1-2-1,0
35180,18,2,1-2-1,0
35270,15,11,1-2-1,0
35700,15,7,1-2-1,0
35720,15,1,1-2-1,0
36785,15,19,1-2-1,0
37740,15,12,1-2-1,0
38080,15,4,1-2-1,0
38245,15,4,1-2-1,0
38540,15,7,1-2-1,0
38730,15,19,1-2-1,0
39295,15,7,1-2-1,0
39675,15,8,1-2-1,0
39820,15,18,1-2-1,0
39895,15,12,1-2-1,0
39945,15,5,1-2-1,0
40810,15,3,1-2-1,0
41525,15,20,1-2-1,0
42360,15,7,1-2-1,0
43100,15,3,1-2-1,0
43250,15,5,1-2-1,0
43275,15,11,1-2-1,0
43675,15,5,1-2-1,0
46300,15,8,1-2-1,0
46760,15,10,1-2-1,0
46870,15,12,1-2-1,0
47100,15,7,1-2-1,0
47350,15,13,1-2-1,0
47450,15,5,1-2-1,0
48365,15,2,1-2-1,0
