tempo,origem,destino,msg_id,delivered,forward_util,source_file
5710,7,4,1-2-1,0,0,r105.csv
5715,4,7,1-2-1,0,0,r105.csv
5950,7,3,1-2-1,0,0,r105.csv
6200,6,5,1-2-1,0,0,r105.csv
6400,4,1,1-2-1,0,0,r105.csv
6405,1,4,1-2-1,0,0,r105.csv
6625,6,4,1-2-1,0,0,r105.csv
6630,4,6,1-2-1,0,0,r105.csv
7240,7,3,1-2-1,0,0,r105.csv
7405,1,3,1-2-1,0,0,r105.csv
8265,7,1,1-2-1,0,0,r105.csv
8270,1,7,1-2-1,0,0,r105.csv
8675,4,7,1-2-1,0,0,r105.csv
8675,7,4,1-2-1,0,0,r105.csv
9260,6,2,1-2-1,0,0,r105.csv
9275,1,2,1-2-1,0,0,r105.csv
9690,4,1,1-2-1,0,0,r105.csv
9785,7,5,1-2-1,0,0,r105.csv
9955,7,3,1-2-1,0,0,r105.csv
10410,4,2,1-2-1,0,0,r105.csv
10605,7,4,1-2-1,0,0,r105.csv
10775,7,8,1-2-1,0,0,r105.csv
12375,7,2,1-2-1,0,0,r105.csv
280,1,6,1-2-1,0,1,r106.csv
1750,6,3,1-2-1,0,1,r106.csv
1880,6,2,1-2-1,1,1,r106.csv
3665,1,5,1-2-1,0,1,r106.csv
4305,3,8,1-2-1,0,1,r106.csv
5070,5,4,1-2-1,0,1,r106.csv
5075,4,5,1-2-1,0,0,r106.csv
5655,1,7,1-2-1,0,1,r106.csv
5770,8,5,1-2-1,0,0,r106.csv
5775,5,8,1-2-1,0,0,r106.csv
6175,5,2,1-2-1,0,0,r106.csv
6835,3,4,1-2-1,0,0,r106.csv
6835,4,3,1-2-1,0,0,r106.csv
7275,3,2,1-2-1,0,0,r106.csv
7480,1,2,1-2-1,0,0,r106.csv
7485,7,1,1-2-1,0,0,r106.csv
7500,7,2,1-2-1,0,0,r106.csv
8395,8,7,1-2-1,0,0,r106.csv
8840,8,3,1-2-1,0,0,r106.csv
9600,8,6,1-2-1,0,0,r106.csv
11120,4,3,1-2-1,0,0,r106.csv
11470,4,6,1-2-1,0,0,r106.csv
12015,4,5,1-2-1,0,0,r106.csv
12390,4,2,1-2-1,0,0,r106.csv
12505,8,6,1-2-1,0,0,r106.csv
15765,8,5,1-2-1,0,0,r106.csv
16225,8,2,1-2-1,0,0,r106.csv
395,1,8,1-2-1,0,1,r107.csv
1855,1,3,1-2-1,0,1,r107.csv
1885,1,3,1-2-1,0,0,r107.csv
2080,1,5,1-2-1,0,1,r107.csv
2485,1,3,1-2-1,0,0,r107.csv
2485,3,1,1-2-1,0,0,r107.csv
2555,8,2,1-2-1,1,1,r107.csv
3555,1,8,1-2-1,0,0,r107.csv
3670,3,7,1-2-1,0,1,r107.csv
3700,1,3,1-2-1,0,0,r107.csv
3700,3,1,1-2-1,0,0,r107.csv
3715,1,7,1-2-1,0,0,r107.csv
3715,7,1,1-2-1,0,0,r107.csv
4140,5,6,1-2-1,0,1,r107.csv
4370,6,7,1-2-1,0,0,r107.csv
4370,7,6,1-2-1,0,0,r107.csv
5100,3,5,1-2-1,0,0,r107.csv
5110,5,3,1-2-1,0,0,r107.csv
5125,5,3,1-2-1,0,0,r107.csv
5150,5,1,1-2-1,0,0,r107.csv
5155,1,5,1-2-1,0,0,r107.csv
5175,1,3,1-2-1,0,0,r107.csv
5175,3,1,1-2-1,0,0,r107.csv
5195,5,3,1-2-1,0,0,r107.csv
5425,5,8,1-2-1,0,0,r107.csv
5745,7,6,1-2-1,0,0,r107.csv
5750,6,7,1-2-1,0,0,r107.csv
6205,5,2,1-2-1,0,0,r107.csv
8580,3,8,1-2-1,0,0,r107.csv
8695,3,7,1-2-1,0,0,r107.csv
8695,7,3,1-2-1,0,0,r107.csv
9245,3,1,1-2-1,0,0,r107.csv
9250,1,3,1-2-1,0,0,r107.csv
11195,6,5,1-2-1,0,0,r107.csv
11230,7,1,1-2-1,0,0,r107.csv
11245,1,7,1-2-1,0,0,r107.csv
11470,1,8,1-2-1,0,0,r107.csv
11565,7,4,1-2-1,0,1,r107.csv
12070,1,8,1-2-1,0,0,r107.csv
12610,6,1,1-2-1,0,0,r107.csv
12615,1,6,1-2-1,0,0,r107.csv
12660,1,8,1-2-1,0,0,r107.csv
13190,6,2,1-2-1,0,0,r107.csv
13815,4,8,1-2-1,0,0,r107.csv
14045,1,8,1-2-1,0,0,r107.csv
14360,7,2,1-2-1,0,0,r107.csv
14440,4,3,1-2-1,0,0,r107.csv
14445,3,4,1-2-1,0,0,r107.csv
14450,3,8,1-2-1,0,0,r107.csv
15345,1,7,1-2-1,0,0,r107.csv
16290,1,6,1-2-1,0,0,r107.csv
16625,3,6,1-2-1,0,0,r107.csv
16980,1,2,1-2-1,0,0,r107.csv
18675,4,8,1-2-1,0,0,r107.csv
18740,4,5,1-2-1,0,0,r107.csv
18830,3,7,1-2-1,0,0,r107.csv
18905,3,2,1-2-1,0,0,r107.csv
19320,4,1,1-2-1,0,0,r107.csv
20065,4,5,1-2-1,0,0,r107.csv
21570,4,2,1-2-1,0,0,r107.csv
915,1,3,1-2-1,0,1,r108.csv
1650,1,2,1-2-1,1,1,r108.csv
3285,3,5,1-2-1,0,1,r108.csv
3380,5,8,1-2-1,0,1,r108.csv
3415,8,3,1-2-1,0,0,r108.csv
3420,3,8,1-2-1,0,0,r108.csv
4210,8,3,1-2-1,0,0,r108.csv
4215,3,8,1-2-1,0,0,r108.csv
4675,5,3,1-2-1,0,0,r108.csv
4680,3,5,1-2-1,0,0,r108.csv
5895,3,6,1-2-1,0,1,r108.csv
6035,3,2,1-2-1,0,0,r108.csv
6390,5,2,1-2-1,0,0,r108.csv
8615,8,7,1-2-1,0,1,r108.csv
9045,7,2,1-2-1,0,0,r108.csv
9680,8,4,1-2-1,0,1,r108.csv
9685,4,8,1-2-1,0,0,r108.csv
10130,6,2,1-2-1,0,0,r108.csv
10575,4,5,1-2-1,0,0,r108.csv
11410,8,5,1-2-1,0,0,r108.csv
11765,8,3,1-2-1,0,0,r108.csv
12830,8,1,1-2-1,0,0,r108.csv
13095,8,7,1-2-1,0,0,r108.csv
13320,4,8,1-2-1,0,0,r108.csv
13320,8,4,1-2-1,0,0,r108.csv
13555,4,5,1-2-1,0,0,r108.csv
16480,4,2,1-2-1,0,0,r108.csv
16640,8,3,1-2-1,0,0,r108.csv
16870,8,3,1-2-1,0,0,r108.csv
20455,8,4,1-2-1,0,0,r108.csv
28630,8,7,1-2-1,0,0,r108.csv
29420,8,5,1-2-1,0,0,r108.csv
29540,8,2,1-2-1,0,0,r108.csv
2240,1,8,1-2-1,0,1,r109.csv
2470,1,3,1-2-1,0,1,r109.csv
3855,1,6,1-2-1,0,1,r109.csv
4485,3,1,1-2-1,0,0,r109.csv
4490,1,3,1-2-1,0,0,r109.csv
4620,1,7,1-2-1,0,1,r109.csv
4830,1,2,1-2-1,1,1,r109.csv
4950,6,2,1-2-1,0,0,r109.csv
5540,8,5,1-2-1,0,1,r109.csv
5545,5,8,1-2-1,0,0,r109.csv
6225,7,6,1-2-1,0,0,r109.csv
7375,8,6,1-2-1,0,0,r109.csv
8090,5,2,1-2-1,0,0,r109.csv
8165,3,1,1-2-1,0,0,r109.csv
8205,7,3,1-2-1,0,0,r109.csv
8210,3,7,1-2-1,0,0,r109.csv
9020,7,4,1-2-1,0,1,r109.csv
9520,7,2,1-2-1,0,0,r109.csv
10025,4,8,1-2-1,0,0,r109.csv
10025,8,4,1-2-1,0,0,r109.csv
10100,3,2,1-2-1,0,0,r109.csv
11635,8,2,1-2-1,0,0,r109.csv
12140,4,3,1-2-1,0,0,r109.csv
14755,4,8,1-2-1,0,0,r109.csv
15275,4,6,1-2-1,0,0,r109.csv
15640,4,5,1-2-1,0,0,r109.csv
16260,4,8,1-2-1,0,0,r109.csv
16335,4,1,1-2-1,0,0,r109.csv
16365,4,8,1-2-1,0,0,r109.csv
16715,4,5,1-2-1,0,0,r109.csv
18190,4,6,1-2-1,0,0,r109.csv
18555,4,5,1-2-1,0,0,r109.csv
18715,4,1,1-2-1,0,0,r109.csv
19780,4,3,1-2-1,0,0,r109.csv
20820,4,6,1-2-1,0,0,r109.csv
21030,4,7,1-2-1,0,0,r109.csv
21805,4,1,1-2-1,0,0,r109.csv
23495,4,7,1-2-1,0,0,r109.csv
24190,4,8,1-2-1,0,0,r109.csv
27200,4,6,1-2-1,0,0,r109.csv
30250,4,1,1-2-1,0,0,r109.csv
30800,4,5,1-2-1,0,0,r109.csv
31975,4,6,1-2-1,0,0,r109.csv
31995,4,7,1-2-1,0,0,r109.csv
32230,4,5,1-2-1,0,0,r109.csv
32540,4,8,1-2-1,0,0,r109.csv
32685,4,2,1-2-1,0,0,r109.csv
1430,1,2,1-2-1,1,1,r11.csv
790,1,5,1-2-1,0,1,r110.csv
1265,1,3,1-2-1,0,1,r110.csv
2890,3,1,1-2-1,0,0,r110.csv
2895,1,3,1-2-1,0,0,r110.csv
4470,1,5,1-2-1,0,0,r110.csv
4470,5,1,1-2-1,0,0,r110.csv
4905,3,4,1-2-1,0,1,r110.csv
4920,4,3,1-2-1,0,0,r110.csv
5130,3,1,1-2-1,0,0,r110.csv
5135,1,3,1-2-1,0,0,r110.csv
5665,5,7,1-2-1,0,1,r110.csv
5770,4,8,1-2-1,0,1,r110.csv
6460,5,4,1-2-1,0,0,r110.csv
6945,4,3,1-2-1,0,0,r110.csv
6950,3,4,1-2-1,0,0,r110.csv
7045,8,1,1-2-1,0,0,r110.csv
7050,1,8,1-2-1,0,0,r110.csv
7115,7,8,1-2-1,0,0,r110.csv
7115,8,7,1-2-1,0,0,r110.csv
7325,3,2,1-2-1,1,1,r110.csv
8775,7,6,1-2-1,0,1,r110.csv
9345,7,4,1-2-1,0,0,r110.csv
9350,4,7,1-2-1,0,0,r110.csv
9495,7,3,1-2-1,0,0,r110.csv
10480,6,8,1-2-1,0,0,r110.csv
10480,8,6,1-2-1,0,0,r110.csv
10835,8,2,1-2-1,0,0,r110.csv
11055,4,5,1-2-1,0,0,r110.csv
11055,5,4,1-2-1,0,0,r110.csv
11095,4,8,1-2-1,0,0,r110.csv
11210,1,4,1-2-1,0,0,r110.csv
11210,4,1,1-2-1,0,0,r110.csv
11795,6,7,1-2-1,0,0,r110.csv
11795,7,6,1-2-1,0,0,r110.csv
12025,5,2,1-2-1,0,0,r110.csv
12375,7,6,1-2-1,0,0,r110.csv
12380,6,7,1-2-1,0,0,r110.csv
12870,6,2,1-2-1,0,0,r110.csv
12960,4,6,1-2-1,0,0,r110.csv
12960,7,1,1-2-1,0,0,r110.csv
12965,1,7,1-2-1,0,0,r110.csv
13060,1,3,1-2-1,0,0,r110.csv
13070,7,8,1-2-1,0,0,r110.csv
13180,7,2,1-2-1,0,0,r110.csv
13900,4,5,1-2-1,0,0,r110.csv
15905,1,4,1-2-1,0,0,r110.csv
17185,4,5,1-2-1,0,0,r110.csv
17860,4,6,1-2-1,0,0,r110.csv
18090,1,8,1-2-1,0,0,r110.csv
18345,4,6,1-2-1,0,0,r110.csv
18585,1,2,1-2-1,0,0,r110.csv
19085,4,5,1-2-1,0,0,r110.csv
22095,4,8,1-2-1,0,0,r110.csv
23690,4,1,1-2-1,0,0,r110.csv
31065,4,7,1-2-1,0,0,r110.csv
32360,4,6,1-2-1,0,0,r110.csv
36975,4,8,1-2-1,0,0,r110.csv
40320,4,3,1-2-1,0,0,r110.csv
40375,4,2,1-2-1,0,0,r110.csv
1115,1,2,1-2-1,1,1,r111.csv
410,1,5,1-2-1,0,1,r112.csv
580,1,4,1-2-1,0,1,r112.csv
610,1,3,1-2-1,0,1,r112.csv
720,3,7,1-2-1,0,1,r112.csv
880,7,1,1-2-1,0,0,r112.csv
885,1,7,1-2-1,0,0,r112.csv
2020,3,8,1-2-1,0,1,r112.csv
2715,7,6,1-2-1,0,1,r112.csv
2720,6,7,1-2-1,0,0,r112.csv
2810,4,8,1-2-1,0,0,r112.csv
2810,8,4,1-2-1,0,0,r112.csv
3770,3,8,1-2-1,0,0,r112.csv
3770,8,3,1-2-1,0,0,r112.csv
4435,3,6,1-2-1,0,0,r112.csv
4435,6,3,1-2-1,0,0,r112.csv
4990,4,7,1-2-1,0,0,r112.csv
4990,7,4,1-2-1,0,0,r112.csv
5375,4,3,1-2-1,0,0,r112.csv
5380,3,4,1-2-1,0,0,r112.csv
6185,8,4,1-2-1,0,0,r112.csv
6190,4,8,1-2-1,0,0,r112.csv
6265,7,5,1-2-1,0,0,r112.csv
6270,5,7,1-2-1,0,0,r112.csv
6285,8,3,1-2-1,0,0,r112.csv
6290,3,8,1-2-1,0,0,r112.csv
6495,3,4,1-2-1,0,0,r112.csv
6495,4,3,1-2-1,0,0,r112.csv
6575,7,4,1-2-1,0,0,r112.csv
6580,4,7,1-2-1,0,0,r112.csv
7105,1,6,1-2-1,0,0,r112.csv
7105,6,1,1-2-1,0,0,r112.csv
7540,5,8,1-2-1,0,0,r112.csv
7540,8,5,1-2-1,0,0,r112.csv
7590,4,8,1-2-1,0,0,r112.csv
7590,8,4,1-2-1,0,0,r112.csv
7600,7,6,1-2-1,0,0,r112.csv
7605,6,7,1-2-1,0,0,r112.csv
7700,8,2,1-2-1,1,1,r112.csv
8375,6,4,1-2-1,0,0,r112.csv
8380,4,6,1-2-1,0,0,r112.csv
8525,5,6,1-2-1,0,0,r112.csv
8530,6,5,1-2-1,0,0,r112.csv
8905,7,3,1-2-1,0,0,r112.csv
8915,3,7,1-2-1,0,0,r112.csv
8940,6,8,1-2-1,0,0,r112.csv
9010,7,8,1-2-1,0,0,r112.csv
9045,3,8,1-2-1,0,0,r112.csv
9250,1,6,1-2-1,0,0,r112.csv
9250,6,1,1-2-1,0,0,r112.csv
9595,4,7,1-2-1,0,0,r112.csv
9595,7,4,1-2-1,0,0,r112.csv
9970,7,2,1-2-1,0,0,r112.csv
10360,3,5,1-2-1,0,0,r112.csv
10365,5,3,1-2-1,0,0,r112.csv
10420,5,4,1-2-1,0,0,r112.csv
10425,4,5,1-2-1,0,0,r112.csv
10755,5,8,1-2-1,0,0,r112.csv
11305,3,2,1-2-1,0,0,r112.csv
11425,5,2,1-2-1,0,0,r112.csv
11580,1,5,1-2-1,0,0,r112.csv
11675,1,2,1-2-1,0,0,r112.csv
12350,6,4,1-2-1,0,0,r112.csv
12355,4,6,1-2-1,0,0,r112.csv
16515,6,3,1-2-1,0,0,r112.csv
16535,6,2,1-2-1,0,0,r112.csv
18295,4,1,1-2-1,0,0,r112.csv
19790,4,1,1-2-1,0,0,r112.csv
22975,4,3,1-2-1,0,0,r112.csv
24205,4,7,1-2-1,0,0,r112.csv
24210,4,8,1-2-1,0,0,r112.csv
27805,4,3,1-2-1,0,0,r112.csv
28335,4,6,1-2-1,0,0,r112.csv
28700,4,7,1-2-1,0,0,r112.csv
29825,4,5,1-2-1,0,0,r112.csv
30725,4,2,1-2-1,0,0,r112.csv
3835,1,7,1-2-1,0,1,r113.csv
4415,7,5,1-2-1,0,1,r113.csv
5230,7,2,1-2-1,1,1,r113.csv
6135,1,6,1-2-1,0,1,r113.csv
6140,5,2,1-2-1,0,0,r113.csv
6150,6,1,1-2-1,0,0,r113.csv
7050,6,3,1-2-1,0,1,r113.csv
7505,6,8,1-2-1,0,1,r113.csv
8680,1,3,1-2-1,0,0,r113.csv
8705,3,1,1-2-1,0,0,r113.csv
9240,1,2,1-2-1,0,0,r113.csv
10560,6,7,1-2-1,0,0,r113.csv
10640,6,5,1-2-1,0,0,r113.csv
10710,6,2,1-2-1,0,0,r113.csv
11765,8,3,1-2-1,0,0,r113.csv
11770,3,8,1-2-1,0,0,r113.csv
12055,8,4,1-2-1,0,1,r113.csv
12210,3,2,1-2-1,0,0,r113.csv
15740,4,7,1-2-1,0,0,r113.csv
17175,4,6,1-2-1,0,0,r113.csv
18765,8,4,1-2-1,0,0,r113.csv
18770,4,8,1-2-1,0,0,r113.csv
19665,8,7,1-2-1,0,0,r113.csv
19765,8,2,1-2-1,0,0,r113.csv
20050,4,1,1-2-1,0,0,r113.csv
22800,4,1,1-2-1,0,0,r113.csv
27645,4,7,1-2-1,0,0,r113.csv
28845,4,8,1-2-1,0,0,r113.csv
29920,4,8,1-2-1,0,0,r113.csv
32985,4,7,1-2-1,0,0,r113.csv
37395,4,3,1-2-1,0,0,r113.csv
38000,4,5,1-2-1,0,0,r113.csv
38565,4,5,1-2-1,0,0,r113.csv
40420,4,3,1-2-1,0,0,r113.csv
41190,4,8,1-2-1,0,0,r113.csv
43530,4,6,1-2-1,0,0,r113.csv
43755,4,1,1-2-1,0,0,r113.csv
45560,4,7,1-2-1,0,0,r113.csv
45735,4,8,1-2-1,0,0,r113.csv
47435,4,3,1-2-1,0,0,r113.csv
47525,4,1,1-2-1,0,0,r113.csv
47685,4,5,1-2-1,0,0,r113.csv
47825,4,2,1-2-1,0,0,r113.csv
900,1,7,1-2-1,0,1,r114.csv
1490,1,5,1-2-1,0,1,r114.csv
1495,1,8,1-2-1,0,1,r114.csv
1510,8,5,1-2-1,0,0,r114.csv
2350,7,3,1-2-1,0,1,r114.csv
2745,3,7,1-2-1,0,0,r114.csv
2745,7,3,1-2-1,0,0,r114.csv
3400,5,4,1-2-1,0,1,r114.csv
3405,4,5,1-2-1,0,0,r114.csv
4160,3,7,1-2-1,0,0,r114.csv
4160,7,3,1-2-1,0,0,r114.csv
4485,7,8,1-2-1,0,0,r114.csv
4485,8,7,1-2-1,0,0,r114.csv
5655,7,4,1-2-1,0,0,r114.csv
5660,4,7,1-2-1,0,0,r114.csv
6090,7,2,1-2-1,1,1,r114.csv
6385,3,6,1-2-1,0,1,r114.csv
6470,1,7,1-2-1,0,0,r114.csv
